customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,event,survival_time,signup_channel,monthly_revenue,support_tickets,churn_prob,risk_tier,expected_remaining_months,ltv_estimate,revenue_at_risk
9763-GRSKD,Male,No,Yes,Yes,13,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,No,0,13,organic,50.75,0,0.09551461,Low,21.7,1101.27,4.85
7469-LKBCI,Male,No,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,No,0,16,social,18.45,1,0.007375025,Low,23.8,439.11,0.14
8091-TTVAX,Male,No,Yes,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,No,0,58,referral,104.39,1,0.18182668,Low,19.6,2046.04,18.98
0280-XJGEX,Male,No,No,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,1,49,organic,104.16,5,0.9948639,High,0.1,10.42,103.63
5129-JLPIS,Male,No,No,No,25,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,No,0,25,organic,104.61,0,0.16950688,Low,19.9,2081.74,17.73
3655-SNQYZ,Female,No,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,No,0,69,organic,113.92,1,0.09059062,Low,21.8,2483.46,10.32
8191-XWSZG,Female,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,No,0,52,organic,19.79,2,0.13868925,Low,20.7,409.65,2.74
9959-WOFKT,Male,No,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,No,0,71,paid_search,106.89,1,0.056695126,Low,22.6,2415.71,6.06
4190-MFLUW,Female,No,Yes,Yes,10,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,1,10,paid_search,52.77,3,0.8518184,High,3.6,189.97,44.95
4183-MYFRB,Female,No,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,0,21,organic,90.03,2,0.7278152,High,6.5,585.2,65.53
8779-QRDMV,Male,Yes,No,No,1,No,No phone service,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,Yes,1,1,paid_search,38.69,5,0.98644805,High,0.3,11.61,38.17
1680-VDCWW,Male,No,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,No,0,12,organic,17.55,0,0.015040008,Low,23.6,414.18,0.26
1066-JKSGK,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,1,1,organic,24.1,1,0.5069141,Medium,11.8,284.38,12.22
3638-WEABW,Female,No,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,No,0,58,paid_search,57.73,0,0.0035614632,Low,23.9,1379.75,0.21
6322-HRPFA,Male,No,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,No,0,49,paid_search,59.61,0,0.028916987,Low,23.3,1388.91,1.72
6865-JZNKO,Female,No,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,No,0,30,referral,53.69,1,0.14805308,Low,20.4,1095.28,7.95
6467-CHFZW,Male,No,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,1,47,organic,99.94,4,0.9808319,High,0.5,49.97,98.02
8665-UTDHZ,Male,No,Yes,Yes,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,1,1,paid_search,27.65,3,0.954052,High,1.1,30.42,26.38
5248-YGIJN,Male,No,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,No,0,72,paid_search,91.93,4,0.11536121,Low,21.2,1948.92,10.61
8773-HHUOZ,Female,No,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,1,17,organic,68.77,3,0.9054255,High,2.3,158.17,62.27
3841-NFECX,Female,Yes,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,No,0,71,paid_search,94.67,2,0.043305296,Low,23.0,2177.41,4.1
4929-XIHVW,Male,Yes,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,No,0,2,organic,97.93,0,0.40126413,Medium,14.4,1410.19,39.3
6827-IEAUQ,Female,No,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,0,27,organic,65.39,0,0.0050307284,Low,23.9,1562.82,0.33
7310-EGVHZ,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,0,1,social,23.21,1,0.31133437,Low,16.5,382.96,7.23
3413-BMNZE,Male,Yes,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,0,1,social,49.63,2,0.91214716,High,2.1,104.22,45.27
6234-RAAPL,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,0,72,referral,99.43,1,0.018798703,Low,23.5,2336.6,1.87
6047-YHPVI,Male,No,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,1,5,organic,66.66,5,0.99525416,High,0.1,6.67,66.34
6572-ADKRS,Female,No,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,0,46,organic,76.7,2,0.6619311,Medium,8.1,621.27,50.77
5380-WJKOV,Male,No,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,1,34,referral,106.8,4,0.98912966,High,0.3,32.04,105.64
8168-UQWWF,Female,No,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,1,11,paid_search,98.85,5,0.9982975,High,0.0,0.0,98.68
8865-TNMNX,Male,No,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,0,10,organic,48.87,1,0.10138797,Low,21.6,1055.59,4.95
9489-DEDVP,Female,No,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,0,70,paid_search,67.43,0,0.010952741,Low,23.7,1598.09,0.74
9867-JCZSP,Female,No,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,0,17,organic,23.07,1,0.033254266,Low,23.2,535.22,0.77
4671-VJLCL,Female,No,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,0,63,social,80.49,4,0.28306556,Low,17.2,1384.43,22.78
4080-IIARD,Female,No,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,0,13,organic,73.31,0,0.096758164,Low,21.7,1590.83,7.09
3714-NTNFO,Female,No,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,0,49,referral,85.87,1,0.3814686,Low,14.8,1270.88,32.76
5948-UJZLF,Male,No,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,0,2,organic,50.22,1,0.551255,Medium,10.8,542.38,27.68
7760-OYPDY,Female,No,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,1,2,paid_search,80.0,3,0.9820385,High,0.4,32.0,78.56
7639-LIAYI,Male,No,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,0,52,paid_search,82.99,0,0.00316183,Low,23.9,1983.46,0.26
2954-PIBKO,Female,No,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,0,69,organic,62.91,1,0.011488655,Low,23.7,1490.97,0.72
8012-SOUDQ,Female,Yes,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,0,43,social,89.91,1,0.4414384,Medium,13.4,1204.79,39.69
9420-LOJKX,Female,No,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,1,15,referral,100.64,2,0.7930065,High,5.0,503.2,79.81
6575-SUVOI,Female,Yes,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,0,25,social,69.65,1,0.119595185,Low,21.1,1469.62,8.33
7495-OOKFY,Female,Yes,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,1,8,referral,77.88,2,0.88883746,High,2.7,210.28,69.22
4667-QONEA,Female,Yes,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,0,60,paid_search,75.22,1,0.04653757,Low,22.9,1722.54,3.5
1658-BYGOY,Male,Yes,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,1,18,social,94.62,3,0.95441717,High,1.1,104.08,90.31
8769-KKTPH,Female,No,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,0,63,organic,101.36,0,0.04410046,Low,22.9,2321.14,4.47
5067-XJQFU,Male,Yes,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,0,66,organic,108.75,0,0.057798054,Low,22.6,2457.75,6.29
3957-SQXML,Female,No,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,0,34,organic,25.14,0,0.0045210863,Low,23.9,600.85,0.11
5954-BDFSG,Female,No,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,0,72,organic,105.4,0,0.07477072,Low,22.2,2339.88,7.88
0434-CSFON,Female,No,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,0,47,paid_search,100.04,0,0.2892235,Low,17.1,1710.68,28.93
1215-FIGMP,Male,No,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,0,60,organic,91.84,2,0.58276635,Medium,10.0,918.4,53.52
0526-SXDJP,Male,No,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,0,72,referral,40.55,0,0.0021834893,Low,23.9,969.14,0.09
0557-ASKVU,Female,No,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,0,18,paid_search,54.33,1,0.06798441,Low,22.4,1216.99,3.69
5698-BQJOH,Female,No,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,1,9,organic,92.53,6,0.9990115,High,0.0,0.0,92.44
5122-CYFXA,Female,No,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,0,3,paid_search,72.93,1,0.42871144,Medium,13.7,999.14,31.27
8627-ZYGSZ,Male,No,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,0,47,organic,78.73,0,0.014908514,Low,23.6,1858.03,1.17
3410-YOQBQ,Female,No,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,0,31,referral,79.55,2,0.10192578,Low,21.6,1718.28,8.11
3170-NMYVV,Female,No,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,0,50,organic,24.14,1,0.011126141,Low,23.7,572.12,0.27
7410-OIEDU,Male,No,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,0,10,social,78.94,0,0.21427764,Low,18.9,1491.97,16.92
2273-QCKXA,Male,No,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,0,1,referral,48.95,1,0.26783136,Low,17.6,861.52,13.11
0731-EBJQB,Female,No,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,0,52,organic,17.9,1,0.027816588,Low,23.3,417.07,0.5
1891-QRQSA,Male,Yes,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,0,64,organic,112.82,2,0.25828582,Low,17.8,2008.2,29.14
8028-PNXHQ,Male,No,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,0,62,referral,25.05,0,0.0029741174,Low,23.9,598.69,0.07
5630-AHZIL,Female,No,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,0,3,referral,67.48,2,0.6698701,Medium,7.9,533.09,45.2
2673-CXQEU,Female,Yes,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,0,56,referral,112.72,0,0.024446119,Low,23.4,2637.65,2.76
6416-JNVRK,Female,No,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,0,46,referral,56.35,0,0.016939638,Low,23.6,1329.86,0.95
5590-ZSKRV,Female,No,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,0,8,organic,53.71,0,0.09867193,Low,21.6,1160.14,5.3
0191-ZHSKZ,Male,Yes,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,0,30,paid_search,75.16,0,0.12435272,Low,21.0,1578.36,9.35
3887-PBQAO,Female,No,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,0,45,organic,25.68,2,0.18673009,Low,19.5,500.76,4.8
5919-TMRGD,Female,No,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,1,1,referral,81.26,3,0.98873526,High,0.3,24.38,80.34
8108-UXRQN,Female,No,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,0,11,paid_search,52.2,1,0.20192479,Low,19.2,1002.24,10.54
9191-MYQKX,Female,No,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,1,7,organic,74.56,4,0.98787934,High,0.3,22.37,73.66
9919-YLNNG,Female,No,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,0,42,organic,100.88,0,0.19439575,Low,19.3,1946.98,19.61
0318-ZOPWS,Female,No,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,0,49,organic,22.82,0,0.003469177,Low,23.9,545.4,0.08
4445-ZJNMU,Male,No,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,0,9,organic,100.46,0,0.58440244,Medium,10.0,1004.6,58.71
4808-YNLEU,Female,No,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,0,35,referral,61.51,0,0.012343073,Low,23.7,1457.79,0.76
1862-QRWPE,Female,No,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,0,48,paid_search,21.74,2,0.028467918,Low,23.3,506.54,0.62
2796-NNUFI,Female,No,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,0,46,referral,20.1,0,0.0033161968,Low,23.9,480.39,0.07
3016-KSVCP,Male,No,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,0,29,paid_search,36.39,0,0.19711861,Low,19.3,702.33,7.17
4767-HZZHQ,Male,No,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,0,30,organic,78.19,1,0.504044,Medium,11.9,930.46,39.41
2424-WVHPL,Male,Yes,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,0,1,referral,73.91,1,0.65524817,Medium,8.3,613.45,48.43
7233-PAHHL,Male,No,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,0,66,referral,87.2,4,0.40243092,Medium,14.3,1246.96,35.09
6067-NGCEU,Female,No,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,0,65,paid_search,112.18,1,0.24310477,Low,18.2,2041.68,27.27
9848-JQJTX,Male,No,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,0,72,referral,104.45,0,0.046025295,Low,22.9,2391.9,4.81
8637-XJIVR,Female,No,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,1,12,paid_search,76.51,0,0.23640323,Low,18.3,1400.13,18.09
9803-FTJCG,Male,No,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,0,71,paid_search,68.99,2,0.0563459,Low,22.6,1559.17,3.89
0278-YXOOG,Male,No,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,1,5,paid_search,23.07,6,0.99590296,High,0.1,2.31,22.98
3212-KXOCR,Male,No,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,0,52,organic,17.64,1,0.015626865,Low,23.6,416.3,0.28
4598-XLKNJ,Female,Yes,Yes,No,25,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,Yes,1,25,organic,97.91,0,0.5103328,Medium,11.8,1155.34,49.97
6380-ARCEH,Male,No,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,No,0,1,organic,19.99,2,0.78213537,High,5.2,103.95,15.63
3679-XASPY,Female,No,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,No,0,1,paid_search,16.21,0,0.092375286,Low,21.8,353.38,1.5
7123-WQUHX,Male,No,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,No,0,38,organic,94.45,1,0.08255436,Low,22.0,2077.9,7.8
5386-THSLQ,Female,Yes,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,No,0,66,paid_search,47.3,0,0.027585594,Low,23.3,1102.09,1.3
3192-NQECA,Male,No,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,Yes,1,68,social,109.22,2,0.6572252,Medium,8.2,895.6,71.78
6180-YBIQI,Male,No,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,No,0,5,organic,24.78,1,0.2901429,Low,17.0,421.26,7.19
6728-DKUCO,Female,No,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,No,0,72,paid_search,104.65,3,0.3861928,Low,14.7,1538.36,40.42
9750-BOOHV,Female,No,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,No,0,32,referral,30.13,1,0.045883544,Low,22.9,689.98,1.38
8597-CWYHH,Male,No,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,No,0,43,organic,92.94,1,0.119426936,Low,21.1,1961.03,11.1
2848-YXSMW,Male,No,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,No,0,72,organic,20.72,0,0.0036885939,Low,23.9,495.21,0.08
0486-HECZI,Male,No,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,96.75,5238.9,Yes,1,55,organic,93.58,2,0.6249468,Medium,9.0,842.22,58.48
4549-ZDQYY,Female,No,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,No,0,52,organic,57.97,0,0.0061638546,Low,23.9,1385.48,0.36
5712-AHQNN,Female,No,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,No,0,43,social,94.42,1,0.36151356,Low,15.3,1444.63,34.13
4846-WHAFZ,Female,Yes,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.5,2868.15,Yes,1,37,referral,75.61,1,0.47436103,Medium,12.6,952.69,35.87
5256-SKJGO,Female,No,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,No,0,64,paid_search,53.15,1,0.019026205,Low,23.5,1249.02,1.01
3071-VBYPO,Male,No,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,No,0,3,referral,91.3,0,0.2664955,Low,17.6,1606.88,24.33
9560-BBZXK,Female,No,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,No,0,36,referral,31.38,0,0.011694459,Low,23.7,743.71,0.37
